--- 
? !ruby/symbol en
: 
  АБАЙ: " ABAY "
  ВОЛОВО-ЛИПЕЦК: "Волово-ЛИПЕЦЬКА "
  ВОЛОВО-ТУЛА: " Волово-ТУЛА "
  ВОЛОГДА: " Вологда "
  ВОЛОДАР-ВОЛЫНСК: " Володар-Волинського "
  ВОЛОДАРКА: " ВОЛОДАРКА "
  ВОЛОДАРСКИЙ: " ВОЛОДАРСЬКИЙ "
  ВОЛОДАРСКОЕ-ДОН: " Володарськ-ДОН "
  ВОЛОДАРСКОЕ-КОК: " Володарськ-КОК "
  ВОЛОЖИН: " Воложин "
  ВОЛОКАЛАМСК: " ВОЛОКАЛАМСК "
  ВОЛОКОНОВКА: " Волоконовка "
  ВОЛОСОВО: " Волосова "
  ВОЛОЧИНСК: " Волочиськ "
  ВОЛУЙКИ: " ВОЛУЙКІ "
  ВОЛХОВ: " Волхов "
  ВОЛЧАНСК: " ВОВЧАНСЬКИЙ "
  ВОЛЧИХА: " Вовчиха "
  ВОЛЫНСК: " ВОЛИНСЬКІ "
  ВОЛЬНО-НАДЕЖДИН: " вільно-Надеждін "
  ВОЛЬНЯНСК: " ВІЛЬНЯНСЬКИЙ "
  ВОЛЬСК: " Власюк "
  ВОРКУТА: " ВОРКУТА "
  ВОРОБЬЕВКА: " Вороб&#39;ївка "
  ВОРОНЕЖ: " ВОРОНІЖ "
  ВОРОНОВО-ВОЛХОВ: " ВОРОНОВА-Волхов"
  ВОРОНОВО-ГРОДНО: "ВОРОНОВА-ГРОДНО "
  ВОРОТЫНЕЦ: " ВОРОТИНЕЦ "
  ВОСЕ: " ВОСЕ "
  ВОСКРЕСЕНСК: " ВОСКРЕСЕНСЬКА "
  ВОТКИНСК: " Воткинськ "
  ВРАДНЕВКА: " ВРАДНЕВКА "
  ВСЕВОЛЖСК: " ВСЕВОЛЖСК "
  ВУАДИЛЬ: " ВУАДІЛЬ "
  ВУКТЫЛ: " ВУКТИЛ "
  ВУЛКАНЕШТЫ: " Вулканешти "
  ВУРНАРЫ: " ВУРНАРИ "
  ВЫБОРГ: " Виборг "
  ВЫГОНИЧИ: " Вигоничі "
  ВЫКСА: " Викса "
  ВЫЛЬГОРТ: " ВИЛЬГОРТ "
  ВЫРИЦА: " Вириця "
  ВЫРУ: " Виру "
  ВЫСЕЛКИ: " Висілки "
  ВЫСКАТКА: " ВИСКАТКА "
  ? "ВЫСОКАЯ ГОРА"
  : " ВИСОКА ГОРА "
  ВЫСОКОПОЛЬЕ: " Високопілля "
  ВЫСОЦК: " ВИСОЦЬКУ "
  ВЫТЕГРА: " Витегра "
  ВЫШГОРОД: " ВИЖГОРОД "
  ? "ВЫШНИЙ ВОЛОЧЕК"
  : " Вишній Волочек"
  ВЯЗЕМСКИЙ: "Вяземський "
  ВЯЗНИКИ: " Вязники "
  ВЯЗЬМА: " Вязьма "
  ? "ВЯТСКИЕ ПОЛЯНЫ"
  : " вятскиє поляни "
  ГАВРИЛОВ-ПОСАД: " ГАВРИЛОВ-ПОСАД "
  ГАВРИЛОВ-ЯМ: " ГАВРИЛОВ-ЯМ "
  ГАВРИЛОВКА: " Гаврилівка "
  ГАВРИЛОВО: " ГАВРИЛОВА "
  ГАГАРИН-ДЖИЗАК: " ГАГАРІН-Джизак "
  ГАГАРИН-СМОЛЕНК: " ГАГАРІН-Смоленки "
  ГАГРЫ: " РОБОТИ "
  ГАДЯЧ: " ГАДЯЧ "
  ГАЗАКЕНТ: " ГАЗАКЕНТ "
  ГАЙВОРОН: " ГАЙВОРОН "
  ГАЙСИН: " ГАЙСИН "
  ГАЛААСИЯ: " ГАЛААСІЯ "
  ГАЛИЧ-И-ФРАНКОВ: " ГАЛИЧ-І-Франка "
  ГАЛИЧ-КОСТРОМА: " ГАЛИЧ-КОСТРОМА "
  ГАЛЯАРАЛ: " ГАЛЯАРАЛ "
  ГАНЦЕВИЧИ: " ганцевичі "
  ГАРГЖДАЙ: " ГАРГЖДАЙ "
  ГАСАН-КУЛИ: " Гасан-Кулі "
  ГАТЧИНА: " Гатчині "
  ГАФУРОВ: " Гафуров "
  ГВАРДЕЙСК: " ГВАРДІЙСЬКИЙ"
  ГВАРДЕЙСКОЕ: "Гвардійське "
  ГДОВ: " Гдов "
  ГЕЛЕНДЖИК: " Геленджик "
  ГЕНИЧЕСК: " ГЕНИЧЕСЬК "
  ГЕОК-ТЕПЕ: " Геоком-ТЕПЕ "
  ГЕОРГИЕВКА-ДЖАМ: " Георгіївка-Джам "
  ГЕОРГИЕВКА-СЕМИ: " Георгіївка-СЕМИ "
  ГЕОРГИЕВСК: " ГЕОРГІЄВСЬКИЙ "
  ГЕОРГИЕВСКОЕ: " ГЕОРГІЄВСЬКИЙ "
  ГЕОРГИУ-ДЕЖ: " Георгій-ДЕЖ "
  ГЕРГЧАЙ: " ГЕРГЧАЙ "
  ГИССАР: " Гісар "
  ГЛАБИНЕ: " ГЛАБІНЕ "
  ГЛАЖЕВО: " ГЛАЖЕВО "
  ГЛАЗОВ: " ГАЛУЗЕВЕ "
  ГЛАЗУНКОВКА: " ГЛАЗУНКОВКА "
  ГЛЕБЫЧЕВО: " ГЛЕБИЧЕВО "
  ГЛИНКА: " Глінки "
  ГЛОБИНО: " ГЛОБИНО "
  ГЛОДЯНЫ: " ГЛОДЯНИ "
  ГЛУБОКОЕ: " Глибока "
  ГЛУСК: " Глуськ "
  ГЛУХОВ: " ГЛУХІВ "
  ГЛУШКОВО: " Глушкова "
  ГЛЫБОКАЯ: " Глибока"
  ГЛЯДЯНСКОЕ: "ГЛЯДЯНСКОЕ "
  ГНИВАНЬ: " ГНІВАНЬ "
  ? "ГОЛАЯ ПРИСТАНЬ"
  : " ГОЛАЯ ПРИСТАНЬ "
  ГОЛИЦЫНО: " Голіцина "
  ГОЛОВАНЕВСК: " ГОЛОВАНІВСЬКИЙ "
  ГОЛЫШМАНОВО: " Голишманово "
  ГОМЕЛЬ: " ГОМЕЛЬ "
  ГОНЧАРОВО: " ГОНЧАРОВА "
  ГОНЬКОВО: " ГОНЬКОВО "
  ГОРБУНКИ: " ГОРБУНОК "
  ГОРДЕЕВКА: " Гордіївка "
  ГОРИ: " ГОРИ "
  ГОРИС: " Горіс "
  ГОРКИ: " ГІРКИ "
  ГОРЛОВКА: " ГОРЛІВКА "
  ГОРНО-АЛТАЙСК: " Горно-Алтайськ "
  ГОРНОЗАВОДСК: " Горнозаводськ "
  ГОРНОСТАЕВКА: " Горностаївка "
  ГОРНЫЙ: " ГІРСЬКИЙ "
  ГОРНЯК: " ГІРНИКИ "
  ГОРОДЕНКА: " ГОРОДЕНКА "
  ГОРОДЕЦ: " Городець "
  ГОРОДИЩЕ: " ГОРОДИЩЕ "
  ГОРОДНЯ: " ГОРОДНЯ "
  ГОРОДОК: " МІСТЕЧКО"
  ГОРОХОВ: "ГОРОХІВ "
  ГОРШЕЧНОЕ: " Кімнатні "
  ГОРЬКИЙ: " ГОРЬКИЙ "
  ГОРЬКИЙ-150: " ГОРЬКИЙ-150 "
  ГОРЬКОВСКОЕ: " Горьковський "
  ? "ГОРЯЧИЙ КЛЮЧ"
  : " ГАРЯЧИЙ КЛЮЧ "
  ГОС-76: " ГОС-76 "
  ГОСТИЛИЦЫ: " ГОСТІЛІЦИ "
  ГОСТИНОПОЛЬЕ: " ГОСТІНОПОЛЬЕ "
  ГОСТИЦЫ: " ГОСТІЦИ "
  ГОТВАЛЬД: " Готвальд "
  ГОЩА: " ГОЩА "
  ГРАХОВО: " Грахова "
  ГРАЧЕВКА: " ГРАЧЕВКА "
  ГРЕБЕНКА: " ГРЕБІНКА "
  ГРЕМЯЧИНСК: " ГРЕМЯЧІНСК "
  ГРЕС-19: " ГРЕС-19 "
  ГРИБАНОВСКИЙ: " Грибановський "
  ГРИГОРИОПОЛЬ: " Григоріополь "
  ГРОДНО: " ГРОДНО "
  ГРОЗНЫЙ: " Грозний "
  ГРОХОВЕЦ: " ГРОХОВЕЦ "
  ГРЯЗИ: " БРУДУ "
  ГРЯЗОВЕЦ: " Грязовець "
  ГУБАХА: " губах"
  ГУБКИН: "Губкін "
  ГУДЕРМЕС: " Гудермес "
  ГУЗАР: " ГУЗАР "
  ГУКОВО: " Гуков "
  ГУЛБИНЕ: " ГУЛБІНЕ "
  ГУЛИСТАН: " Гулістан "
  ГУЛЬБАХОР: " ГУЛЬБАХОР "
  ГУЛЬКЕВИЧИ: " Гулькевичі "
  ГУЛЯЙПОЛЕ: " ГУЛЯЙПОЛЕ "
  ГУРДЖААНИ: " Гурджаані "
  ГУРЛЕН: " ГУРЛЕН "
  ГУРЬЕВ: " Гур&#39;єв "
  ГУРЬЕВСК: " Гур&#39;євськ "
  ГУСЕВ: " ГУСЄВ "
  ГУСИНООЗЕРСК: " Гусиноозерськ "
  ? "ГУСЬ ХРУСТАЛЬНЫ"
  : " Гусь КРИШТАЛЕВИЙ "
  ГУСЯТИН: " ГУСЯТИН "
  ГЯНДЖА: " Гянджа "
  Д-КОНСТАНТИНОВО: " Д-КОНСТАНТИНОВА "
  ДАВЛЕКАНОВО: " Давлеканово "
  ДАЛМАТОВО: " Далматово "
  ДАЛЬНЕГОРСК: " Дальнегорська "
  ДАЛЬНЕРЕЧЕНСК: " дальнєреченськ "
  ДАНГАРА: " ДАНГАРА "
  ДАНИЛОВ: " ДАНИЛОВ"
  ДАНИЛОВКА: "Данилівка "
  ДАНКОВ: " Данко "
  ДАРГАН-АТА: " ДАРГАН-АТА "
  ДАРЬИНСКОЕ: " ДАРЬІНСКОЕ "
  ДАУГАВПИЛС: " ДАУГАВПІЛС "
  ДВУРЕЧНАЯ: " Дворічна "
  ДЕБАЛЬЦЕВО: " ДЕБАЛЬЦЕВЕ "
  ДЕБЕССЫ: " ДЕБЕССИ "
  ДЕДОВИЧИ: " Дедович "
  ДЕМИДОВ: " ДЕМИДОВ "
  ДЕМЯНСК: " Дем&#39;янська "
  ДЕНАУ: " днів "
  ДЕРАЖНЯ: " ДЕРАЖНЯ "
  ДЕРГАЧИ: " ДЕРГАЧОВ "
  ? "ДЕРГАЧИ САРАТ"
  : " ДЕРГАЧОВ САРАТА "
  ДЕРЖАВИНСК: " Державінська "
  ДЕСНОГОРСК: " ДЕСНОГОРСК "
  ДЖАЛАЛ-АБАД: " Джалал-Абад "
  ДЖАЛИЛАБАД: " ДЖАЛІЛАБАД "
  ДЖАМБАЙ: " ДЖАМБАЙ "
  ДЖАМБЕЙТЫ: " ДЖАМБЕЙТИ "
  ДЖАМБУЛ: " Джамбул "
  ДЖАНКОЙ: " ДЖАНКОЙ "
  ДЖАНСУГУРОВО: " ДЖАНСУГУРОВО "
  ДЖАНЫБЕК: " ДЖАНИБЕК"
  ДЖЕЗКАЗГАН: "Джезказган "
  ДЖЕРМУК: " Джермук "
  ДЖЕТЫГАРА: " Джетигара "
  ДЖЕТЫСАЙ: " ДЖЕТИСАЙ "
  ДЖИЗАК: " Джизак "
  ДЖИЛККУЛЬ: " ДЖІЛККУЛЬ "
  ДЖИРГИТАЛЬ: " ДЖІРГІТАЛЬ "
  ДЖУМА: " Джума "
  ДЖУМАШУЙ: " ДЖУМАШУЙ "
  ДЗЕРЖИНСК: " ДЗЕРЖИНСЬК "
  ДИВЕЕВО: " Дівєєва "
  ДИВНОГОРСК: " Дивногорський "
  ДИВНОЕ: " Дивно "
  ДИГОРА: " Дігора "
  ДИКАНЬКА: " ДИКАНЬКА "
  ДИЛИЖАН: " ДІЛІЖАН "
  ДИМИТРОВОГРАД: " ДІМІТРОВОГРАД "
  ДИНСКАЯ: " Дінська "
  ДМИТРИЕВ: " ДМИТРІЄВ "
  ДМИТРИЕВКА: " Дмитрівка "
  ДМИТРОВ: " Дмитро "
  ДМИТРОВСКОЕ: " Дмитрівська "
  ДНЕПРОДЗЕРЖИНСК: " ДНІПРОДЗЕРЖИНСЬК "
  ДНЕПРОПЕТРОВСК: " ДНІПРОПЕТРОВСЬК "
  ДНЕПРОРУДНЫЙ: " Дніпрорудне"
  ДОБЕЛЕ: "Добеле "
  ДОБРИНКА: " Добринко "
  ДОБРОВЕЛИЧКОВКА: " Добровеличківка "
  ДОБРОЕ: " Добрий "
  ДОБРОПОЛЬЕ: " Добропілля "
  ДОБРУШ: " Добруш "
  ДОВОЛЬНОЕ: " ПОВНІСТЮ "
  ДОКУЧАЕВКА: " ДОКУЧАЕВКА "
  ДОКУЧАЕВСК: " Докучаєвськ "
  ДОКШИЦЫ: " Докшиці "
  ДОЛГОДЕРЕВЕНСК.: " ДОЛГОДЕРЕВЕНСК. "
  ДОЛГОЕ: " Боргу "
  ДОЛГОРУКОВО: " Долгорукова "
  ДОЛИНА: " ДОЛИНА "
  ДОЛИНСК: " ДОЛИНСЬКА "
  ДОЛИНСКАЯ: " ДОЛИНСЬКА "
  ДОМАСАКА: " ДОМАСАКА "
  ДОМОДЕДОВО: " Домодєдово "
  ДОНДЮШАНЫ: " ДОНДЮШАНИ "
  ДОНЕЦК: " ДОНЕЦЬК "
  ДОНЕЦК-РОСТ-ДОН: " ДОНЕЦЬК-РОСТ-ДОН "
  ДОНЕЦКОЕ: " ДОНЕЦЬКЕ "
  ДОРОГОБУШ: " ДОРОГОБУШ "
  ДРАБОВ: " Драбів "
  ДРОГИЧИН: " Дрогичин"
  ДРОГОБЫЧ: "ДРОГОБИЧ "
  ДРОКИЯ: " Дрок "
  ДРУЖБА: " ДРУЖБА "
  ДРУЖКОВКА: " ДРУЖКІВКА "
  ДРУСКИНИНКАЙ: " Друскінінкай "
  ДУБЕНКИ: " Дубенко "
  ДУБНА: " ДУБНА "
  ДУБНО: " ДУБНО "
  ДУБОВКА: " Дубівка "
  ДУБОССАРЫ: " Дубоссар "
  ДУБРОВИЦА: " ДУБРОВИЦЯ "
  ДУБРОВКА: " Дубровці "
  ДУБРОВНО: " Дубровни "
  ДУЛЬДУРГА: " ДУЛЬДУРГА "
  ДУМБРАВЕНЫ: " Думбрава "
  ДУМИНИЧИ: " думиничі "
  ДУНАЕВЦЫ: " ДУНАЇВЦІ "
  ДУРЛЕШТЫ: " ДУРЛЕШТИ "
  ДУСТИ: " ДУСТ "
  ДУХОВНИЦКОЕ: " ДУХОВНІЦКОЕ "
  ДУХОВЩИНА: " ДУХОВЩІНА "
  ДУШАНБЕ: " ДУШАНБЕ "
  ДУШЕТИ: " ДУШЕТІ "
  ДЫЛЫМ: " ДИЛИМ "
  ДЮРТЮЛИ: " ДЮРТЮЛІ"
  ДЯТЛОВО: "Дятлова "
  ДЯТЬКОВО: " Дятьково "
  ЕВЛАХ: " ЄВЛАХ "
  ЕВПАТОРИЯ: " ЄВПАТОРІЯ "
  ЕГВАРД: " ЕГВАРД "
  ЕГИНДЫБУЛЫК: " ЕГІНДИБУЛИК "
  ЕГОРЛЫК: " Єгорлик "
  ЕГОРЬЕВСК: " Єгорьєвськ "
  ЕДИНЦЫ: " ЕДІНЦИ "
  ЕЖЕГНАДЗОР: " ЕЖЕГНАДЗОР "
  ЕЙСК: " ЄЙСЬК "
  ЕКАБПИЛС: " Єкабпілс "
  ЕКАТЕРИНОВКА: " Катеринівка "
  ЕЛАБУГА: " ЕЛАБУГА "
  ЕЛАНЕЦ: " Єланець "
  ЕЛАНЬ: " Елан "
  ЕЛГАВА: " Елгава "
  ЕЛЕЦ: " Єлець "
  ЕЛИЗОВО: " Елизово "
  ЕЛОВО: " ялиново "
  ЕЛЬНИКИ: " Єльник "
  ЕЛЬНЯ: " Єльня "
  ЕЛЬСК: " Єльськ "
  ЕЛЬЦОВКА: " ЕЛЬЦОВКА "
  ЕМАНЖЕЛИНСК: " єманжелинск"
  ЕМВА: "ЕМВА "
  ЕМЕЛЬЧИНО: " ЕМЕЛЬЧІНО "
  ЕМЕЛЬЯНОВО: " Ємельянова "
  ЕНАКИЕВО: " ЄНАКІЄВО "
  ЕНИСЕЙСК: " ЄНІСЕЙСЬКА "
  ЕНОТАЕВКА: " ЕНОТАЕВКА "
  ЕРЕВАН: " ЄРЕВАН "
  ЕРМАК: " ЄРМАК "
  ЕРМАКОВСКОЕ: " Ермаковский "
  ЕРМЕНТАУ: " єрментау "
  ЕРМИШЬ: " ЕРМІШЬ "
  ЕРШИЧИ: " ЕРШІЧІ "
  ЕРШОВ: " ЄРШОВ "
  ЕСИЛЬ: " єсиль "
  ЕССЕНТУКИ: " Єсентуки "
  ЕТКУЛЬ: " ЕТКУЛЬ "
  ЕФРЕМОВ: " ЄФРЕМОВ "
  ЕХЕГНАДЗОР: " ЕХЕГНАДЗОР "
  ЖАБИНКА: " Жабинка "
  ЖАНАТАС: " Жанатас "
  ЖАШКОВ: " Жашків "
  ЖЕЛЕЗИНКА: " ЖЕЛЕЗІНКА "
  ЖЕЛЕЗНОВОДСК: " Желєзноводськ "
  ЖЕЛЕЗНОГ.-КУРСК: " ЖЕЛЕЗНОГ.-курськ "
  ЖЕЛЕЗНОГОРСК-ИР: " Железногорськ-ІР"
  ЖЕЛТЫЕ-ВОДЫ: "ЖОВТІ-ВОДИ "
  ЖЕРДЕВКА: " Жердевка "
  ЖИГУЛЕВСК: " Жигульовськ "
  ЖИДАЧОВ: " ЖИДАЧІВ "
  ЖИЗДРА: " Жиздра "
  ЖИРНОВСК: " ЖІРНОВСК "
  ЖИРЯТИНО: " ЖІРЯТІНО "
  ЖИТКОВИЧИ: " ЖИТОМИР "
  ЖИТКОВО: " ЖИТКОВА "
  ЖИТОМИР: " ЖИТОМИР "
  ЖИХАРЕВО: " Жихарева "
  ЖЛОБИН: " ЖЛОБИН "
  ЖМЕРИНКА: " ЖМЕРИНКА "
  ЖОДИНО: " Жодіно "
  ЖОНДОР: " ЖОНДОР "
  ЖУКОВКА: " ЖУКОВКА "
  ЖУКОВО: " ЖУКОВ "
  ЖУКОВСКИЙ: " ЖУКОВСЬКИЙ "
  ЗААМИН: " ЗААМІН "
  ЗАБАЙКАЛЬСК: " забайкальск "
  ЗАВЕТНОЕ: " Заповітна "
  ЗАВОДОУКОВСК: " ЗАВОДОУКОВСК "
  ЗАВОЛЖЬЕ: " Заволжя "
  ЗАВЬЯЛОВО-БАРН.: " Завьялова - Барна. "
  ЗАВЬЯЛОВО-УСТИН: " Завьялова-УСТІНОВ"
  ЗАГОРСК: "ЗАГОРСЬКА "
  ЗАГРИВЬЕ: " Загрива "
  ЗАДОНСК: " Задонськ "
  ЗАИГРАЕВО: " заіграєво "
  ЗАИНСК: " Заїнська "
  ЗАЙСАН: " Зайсан "
  ЗАКАМЕНСК: " ЗАКАМЕНСК "
  ЗАКАТЫЛЫ: " ЗАКАТИЛИ "
  ЗАЛАРИ: " залари "
  ЗАЛЕГОЩЬ: " ЗАЛЕГОЩЬ "
  ЗАЛЕЖИКИ: " ЗАЛЕЖІКІ "
  ЗАЛЕСОВО: " ЗАЛЕСОВО "
  ЗАЛУКОКАЖЕ: " ЗАЛУКОКАЖЕ "
  ЗАОЗЕРНЫЙ: " Заозерне "
  ЗАОКСКИЙ: " ЗАОКСКІЙ "
  ? "ЗАПАДНАЯ ДВИНА"
  : " ЗАХІДНА ДВИНА "
  ЗАПОЛЯРНЫЙ: " Заполярная "
  ЗАПОРОЖЬЕ: " ЗАПОРІЖЖЯ "
  ЗАРАЙСК: " Зарайськ "
  ЗАРАСАЙ: " Зарасай "
  ЗАРЕЧНОЕ: " ЗАРІЧНЕ "
  ЗАРИНСК: " ЗАРІНСК "
  ЗАСТАВНА: " ЗАСТАВНА "
  ЗАТОБОЛЬСК: " ЗАТОБОЛЬСК "
  ЗАФАР: " Зафар"
  ЗАФАРОБАД: "ЗАФАРОБАД "
  ЗАЧЕПИЛОВКА: " Зачепилівка "
  ЗБАРАШ: " ЗБАРАШ "
  ЗБОРОВ: " ЗБОРИ "
  ЗВЕНИГОВО: " ЗВЕНІГОВО "
  ЗВЕНИГОРОД: " Звенигород "
  ЗВЕНИГОРОДКА: " ЗВЕНИГОРОДКА "
  ЗГУРОВКА: " Згурівка "
  ЗДВИНСК: " ЗДВІНСК "
  ЗДОЛБУНОВ: " ЗДОЛБУНІВ "
  ЗЕЛЕНОГРАДСК: " Зеленоградськ "
  ЗЕЛЕНОДОЛЬСК: " Зеленодольськ "
  ЗЕЛЕНЧУКСКАЯ: " ЗЕЛЕНЧУКСКАЯ "
  ЗЕЛЬВА: " Зельва "
  ЗЕМЕТЧИНО: " ЗЕМЕТЧІНО "
  ЗЕНЬКОВ: " Зіньків "
  ЗЕРЕНДА: " ЗЕРЕНДА "
  ЗЕРНОГРАД: " Зерноград "
  ЗИАДИН: " ЗІАДІН "
  ЗИМА-ИРКУТСК: " ЗИМА-ІРКУТСЬК "
  ЗИМОВНИКИ: " Замовник "
  ЗЛАТОУСТ: " ЗЛАТОУСТ "
  ЗМЕИНОГОРСК: " ЗМЕІНОГОРСК "
  ЗМИЕВКА: " Зміївка "
  ЗНАМЕНКА-КИРОВО: " знам&#39;янка-КІРОВ"
  ЗНАМЕНКА-ТАМБОВ: "Знам&#39;янка-ТАМБОВ "
  ЗНАМЕНСКОЕ-ГРОЗ: " ЗНАМ&#39;ЯНСЬКА-ГРОЗ "
  ЗНАМЕНСКОЕ-ОМСК: " ЗНАМ&#39;ЯНСЬКА-Омськ "
  ЗОЛОТОНОША: " ЗОЛОТОНОША "
  ЗОЛОТУХИНО: " ЗОЛОТУХІН "
  ЗОЛОЧЕВ-ЛЬВОВ: " ЗОЛОЧІВ-ЛЬВІВ "
  ЗОЛОЧЕВ-ХАРЬКОВ: " ЗОЛОЧІВ-ХАРКІВ "
  ЗОНАЛЬНОЕ: " Зустріч "
  ? "ЗУБОВА ПОЛЯНА"
  : " ЗУБОВА ПОЛЯНА "
  ЗУБЦОВ: " ЗУБЦЯ "
  ЗУЕВКА: " Зуївка "
  ЗЫРЯНОВСК: " Зиряновська "
  ЗЫРЯНСКОЕ: " ЗИРЯНСКОЕ "
  ИБРЕСИ: " ібреси "
  ИВАНГОРОД: " Івангород "
  ИВАНИЧИ: " Іваничі "
  ИВАНКОВ: " Іванків "
  ИВАНО-АЛЕКСЕЕВК: " ІВАНО-ОЛЕКСІЇВКА "
  ИВАНО-ФРАНКОВСК: " ІВАНО -ФРАНКІВСЬК "
  ИВАНОВКА: " ІВАНІВКА "
  ИВАНОВКА-ОДЕССА: " ІВАНІВКА-ОДЕССА "
  ИВАНОВКА-ФРУНЗЕ: " ІВАНІВКА-ФРУНЗЕ "
  ИВАНОВКА-ХЕРСОН: " ІВАНІВКА-ХЕРСОН "
  ИВАНОВО: " ІВАНОВА "
  ИВАНОВО-БРЕСТ: " Іванова-БРЕСТ"
  ИВАНТЕЕВКА: "Івантєєвка "
  ИВАНЦЕВИЧИ: " Іванцевичі "
  ИВНЯ: " ІВНЯ "
  ИВОЛГИНСК: " Іволгінськ "
  ИВЬЕ: " ІВЬЕ "
  ИГЛИНО: " Ігліно "
  ИГНАЛИНА: " Ігналіна "
  ИГРА: " ГРА "
  ИДЖЕВАН: " Іджеван "
  ИДРИНСКОЕ: " ІДРІНСКОЕ "
  ИЕЕТСКОЕ: " ІЕЕТСКОЕ "
  ИЖЕВСК: " ІЖЕВСЬК "
  ИЖМА: " ІЖМА "
  ИЖМОРСКИЙ: " ІЖМОРСКІЙ "
  ИЗМАИЛ: " ІЗМАЇЛ "
  ИЗМАЛКОВО: " ІЗМАЛКОВО "
  ИЗОБИЛЬНЫЙ: " Ізобільне "
  ИЗЮМ: " ІЗЮМ "
  ИЗЯСЛАВ: " Ізяслав "
  ИКИ-БУРУЛ: " ІКД-Буруль "
  ИКРЯНОЕ: " ІКРЯНОЕ "
  ИЛАНСКИЙ: " іланська "
  ИЛЕК: " ІЛЕК "
  ИЛОВАЙСК: " ІЛОВАЙСЬК "
  ИЛОВЛЯ: " ІЛОВЛЯ"
  ИЛЬИНСКИЙ: "Іллінська "
  ИЛЬИНСКО-ПОДОМС: " Іллінська-ПОДОМС "
  ИЛЬИНСКОЕ-ХАВАН: " Іллінська-Хава "
  ИЛЬИНЦЫ: " Іллінці "
  ИЛЬЯЛЫ-ТАШАУЗ: " Ільяли-ТАШАУЗ "
  ИМАНЬ: " Іман "
  ИНЗА: " Інза "
  ИНСАР: " Інсаров "
  ИНТА: " ІНТА "
  ИОЛОТАНЬ: " Іолотань "
  ИОНАВА: " ІОНАВА "
  ИОНИШКИС: " ІОНІШКІС "
  ИПАТОВО: " Іпатова "
  ИРБЕЙСКОЕ: " ІРБЕЙСКОЕ "
  ИРБИТ: " Ирбит "
  ИРИНОВКА: " ІРІНОВКА "
  ИРКУТСК: " ІРКУТСЬК "
  ИРПЕНЬ: " ІРПІНЬ "
  ИРТЫШСК: " іртишських "
  ИРШАВА: " ІРШАВА "
  ИСАКЛЫ: " ІСАКЛИ "
  ИСЕТСКОЕ: " Ісетським "
  ИСИЛЬКУЛЬ: " ісилькуль "
  ИСКИТИМ: " ІСКІТІМ "
  ИСМАИЛЛЫ: " ІСМАІЛЛИ"
  ИССЫК: "Іссик "
  ИСТРА: " ІСТРА "
  ИСФАНА: " ІСФАНА "
  ИСФАРА: " Ісфара "
  ИСЯНГУЛОВО: " ІСЯНГУЛОВО "
  ИТЫК-КЮЕЛЬ: " ІТИК-КЮЕЛЬ "
  ИЧНЯ: " ІЧНЯ "
  ИШЕЕВКА: " ІШЕЕВКА "
  ИШИМБАЙ: " Ішимбай "
  ИШТЫХАН: " ІШТИХАН "
  ЙОШКАР-ОЛА: " Йошкар-Ола "
  ЙЫГЕВА: " Йигева "
  КААХКА: " КААХКА "
  КАВАЛЕРОВО: " Кавалерів "
  КАВКАЗСКАЯ: " КАВКАЗСЬКА "
  КАГАЛЬНИЦКАЯ: " КАГАЛЬНІЦКАЯ "
  КАГАН: " Каган "
  КАГАРЛЫК: " Кагарлик "
  КАГУЛ: " Кагул "
  КАДОМ: " Кадом "
  КАДУЙ: " Кадуй "
  КАДЫЙ: " КАДИЙ "
  КАЗАНДЖИК: " КАЗАНДЖІК "
  КАЗАНКА: " КАЗАНКА "
  КАЗАНСКОЕ: " КАЗАНСЬКОГО"
  КАЗАНЬ: "КАЗАНЬ "
  КАЗАРМАН: " КАЗАРМАН "
  КАЗАТИН: " КАЗАТІН "
  КАЗАХ: " Казах "
  КАЗАЧИНСКОЕ: " Казачинське "
  КАЗТАЛОВКА: " КАЗТАЛОВКА "
  КАИНДА: " КАІНДА "
  КАЙРАККУМ: " КАЙРАККУМ "
  КАЙШЯДОРИС: " КАЙШЯДОРІС "
  КАЛАНЧАК: " КАЛАНЧАК "
  КАЛАРАШ: " Калараш "
  КАЛАЧ: " КАЛАЧ "
  ? "КАЛАЧ НА ДОНУ"
  : " КАЛАЧ НА ДОНУ "
  КАЛАЧИНСК: " Калачинськ "
  КАЛГА: " Калга "
  КАЛЕВАЛА: " Калевала "
  КАЛИНИН: " КАЛІНІН "
  КАЛИНИНГРАД: " КАЛІНІНГРАД "
  КАЛИНИНО: " КАЛІНІНА "
  КАЛИНИНСКАЯ: " Калінінський "
  КАЛИНКОВИЧИ: " Калинковичі "
  КАЛИНОВКА: " КАЛИНІВКА "
  КАЛМАНКА: " КЛИМЕНКО "
  КАЛУГА: " КАЛУГА "
  КАЛУШ: " КАЛУШ"
  КАЛЯЗИН: "Калязин "
  КАМ-КАШИРСКИЙ: " КАМ-Каширський "
  КАМАШИ: " Камаша "
  КАМБАРКА: " камбарка "
  КАМЕНЕЦ: " КАМ&#39;ЯНЕЦЬ "
  КАМЕНЕЦ-ПОДОЛЬС: " КАМ&#39;ЯНЕЦЬ-ПОДІЛЬСЬКИЙ "
  КАМЕНКА: " КАМ "
  КАМЕНКА-БУГСКАЯ: " КАМ-Бузька "
  КАМЕНКА-ВОРОНЕЖ: " КАМ-ВОРОНІЖ "
